date,pop
5/3/2011,30
5/4/2011,4159
5/5/2011,10430
5/6/2011,74529
5/7/2011,3571
5/8/2011,8229
5/9/2011,44681
5/11/2011,75399
5/12/2011,136734
5/13/2011,19167
5/14/2011,165700
5/15/2011,29020
5/16/2011,13021
5/18/2011,67848
5/19/2011,20066
5/20/2011,55134
5/21/2011,16096
5/23/2011,19379
5/24/2011,1011405
5/25/2011,19608
5/26/2011,21203
