date,pop
5/2/2015,3250
5/3/2015,14595
5/4/2015,107727
5/5/2015,105143
5/6/2015,1434
5/7/2015,5905
5/8/2015,1118
5/9/2015,42411
5/10/2015,2825
5/11/2015,21610
5/12/2015,3371
5/13/2015,14928
5/14/2015,12696
5/15/2015,312517
5/16/2015,6728
5/17/2015,73386
5/18/2015,97690
5/19/2015,1721
5/20/2015,508539
5/21/2015,39285
5/23/2015,996
5/24/2015,21983
5/25/2015,24135
5/26/2015,21238
5/27/2015,2662
5/28/2015,152
5/29/2015,1518
5/30/2015,1908
5/31/2015,609
